,Name,Calories,Type
463,Macarrão de Trigo Integral (Excelsa),268,1 prato (80g)
464,Farelo de Trigo (Excelsa),34,1 colher de sopa (10g)
465,Cerveja Heineken (355ml) (Heineken),149,1 garrafa (355ml)
466,Cerveja Long Neck (330ml) (Heineken),139,1 garrafa (330ml)
467,Cerveja (Heineken),74,1 copo (350ml)
468,Cerveja Heineken Lata (Heineken),147,1 lata (350ml)
469,Cerveja Zero Álcool (Heineken),69,1 porção (330ml)
470,Cerveja Heineken (250ml) (Heineken),105,1 garrafa (250ml)
471,Heineken 0.0 (350ml) (Heineken),74,1 lata (350ml)
472,Cerveja (Heineken),42,100ml
473,Kaiser Radler (Heineken),42,100ml
474,Granola Mistura de Cereais (Granomel),150,1/2 xícara  (40g)
475,Semente de Chia (Granomel),41,1 colher de sopa (11g)
476,Farinha de Linhaça Dourada (Granomel),80,1 colher de sopa (15g)
477,Aveia Flocos Finos (Granomel),150,2 colher de sopa (30g)
478,Farelo de Aveia (Granomel),150,2 colheres de sopa (30g)
479,Mistura de Cereais sem Açúcar (Granomel),130,1 porção (40g)
480,Amêndoas Cobertas com Chocolate (Jubileu),167,4 pedaços (25g)
481,Chocolate 70% Extra Noir (Jubileu),138,1/4 unidade (25g)
482,Chocolate Meio Amargo com Amêndoas (Jubileu),140,1/4 unidade (25g)
483,Chocolate 85% Cacau (Jubileu),141,1/4 unidade (25g)
484,"Suco Misto de Laranja, Cenoura e Beterraba (Green People)",76,1 copo (200ml)
485,Suco Verde (Green People),104,1 copo (200ml)
486,Suco de Melancia (Green People),74,1 copo (200ml)
487,Chips de Couve (Green People),37,1 pacote (35g)
488,Hibisco Chá (Green People),7,1 porção (200ml)
489,Kale Chips (Green People),37,1 pacote (35g)
490,Suco Misto de Laranja e Mamão (Green People),79,1 copo (200ml)
491,Suco de Laranja (Green People),34,100ml
492,Chips de Couve-Flor (Green People),24,1 pacote (35g)
493,Suco Misto de Abacaxi e Hortelã (Green People),105,1 copo (200ml)
494,Suco de Maçã (Green People),196,1 porção (200ml)
495,Chips de Abobrinha (Green People),26,1 embalagem (35g)
496,Meu Matcha (Green People),115,1 copo (200ml)
497,Granola (Green People),288,1 xícara de chá (50g)
498,Água de Coco (Green People),44,1 copo (200ml)
499,Santo Suco (Green People),89,1 copo (200ml)
500,Chips de Tomate (Green People),22,1 pacote (35g)
501,Snack de Mandioca e Gergelim (Green People),78,1 porção (30g)
502,Suco D-Tox (Green People),96,1 copo (200ml)
503,Cracker de Cogumelo (Green People),95,1 porção (45g)
504,Beijinho (Haribol),67,1 porção (20g)
505,Cajuzinho Diet (Haribol),65,1 unidade (20g)
506,Cappuccino Diet (Haribol),105,2 colheres de sopa (25g)
507,Doce de Leite Diet (Haribol),44,1 colher de sopa (20g)
508,Paçoca de Castanha de Caju Diet (Haribol),113,1 unidade (20g)
509,Brigadeiro Diet (Haribol),60,1 unidade (20g)
510,Kani Kama (Inak),20,1 unidade (16g)
511,Cocada de Forno (Juriti),173,1 unidade (45g)
512,Goma (Juriti),66,1 colher de sopa (20g)
513,Arroz Integral (Juriti),167,1 porção (50g)
514,Fécula de Mandioca (Juriti),66,1 colher de sopa (20g)
515,Pão de Queijo (Jeito de Minas),150,2 1/2 unidades (50g)
516,Tartelette Banoffe (Isabela Akkari),183,1 porção (65g)
517,Alfajor de Doce de Leite (Isabela Akkari),115,1 porção (60g)
518,Mini Pão de Mel (Isabela Akkari),42,1 porção (14g)
519,Petit Bolo de Chocolate com Doce de Leite (Isabela Akkari),140,1 unidade (40g)
520,Brownie Tradicional (Isabela Akkari),170,1 unidade (40g)
521,Alfajor Branco com Doce de Leite (Isabela Akkari),130,1 unidade (60g)
522,Brownie Zero Açúcar (Isabela Akkari),103,1 unidade (40g)
523,Alfajor Branco com Brigadeiro de Pistaches (Isabela Akkari),115,1 unidade (60g)
524,Petit Cenoura com Brigadeiro (Isabela Akkari),135,1 unidade (40g)
525,Alfajor de Cookies & Cream (Isabela Akkari),170,1 unidade (60g)
526,Ovo Brigadeiro de Colher (Isabela Akkari),81,1 porção (25g)
